finding_id,problem_group,status,live_path,live_observation,replacement_rows,scope_note,live_commit,evidence_confidence,evidence_gap
DET-NET-025,3 — Session/transport lifecycle,PARTIAL,"network/src/participant.rs:207,294","best_protocol(&SortedVec<Cid,SendProtocols>, Promises) confirmed present with the same deterministic-class-preference-over-arrival-Cid shape. Fresh evidence: T3.2's landed SessionRegistry/ConnectionEpoch work (c82acbe78e) is application-layer session identity and does not touch transport-level protocol/Cid selection (network/src/participant.rs unchanged) -- confirms this finding's own characterization remains accurate rather than assumed carried-forward.",APEX-T3.2; APEX-T4.1,Existing preference is a real partial primitive; explicit capability/transport policy remains open.,c82acbe78e,SYMBOL-VERIFIED,
DET-NET-026,3 — Session/reconnect lifecycle,PARTIAL,network/src/scheduler.rs,"SessionRegistry (server/src/session_registry.rs, T3.2, c82acbe78e) is now a real, merged, tested application session state machine (admit_new/admit_resume/detach/expire, SessionRecordV1, deterministic sorted-commit admission) -- the finding's first half (""no application session state machine ... exists"") is now false. Its own doc comment states it is memory-only, empty on every fresh process: no session state survives a server restart, so the finding's second half (""full-bootstrap reconnect contract"") remains genuinely open.",APEX-T3.1; APEX-T3.2; APEX-T3.3,No application session state machine or full-bootstrap reconnect contract exists. Session state machine exists and is merged (T3.2); full-bootstrap (cross-restart) reconnect contract remains the open half.,c82acbe78e,SYMBOL-VERIFIED,
DET-NET-033,4 — Bootstrap manifest binding,PARTIAL,common/net/src/msg/server.rs:82,"active_plugins: Vec<PluginHash> confirmed present as one field of an aggregate GameSync-style payload; still lacks one typed compatibility root, policy classes, freshness, schedule/numeric/build identity, and readiness barriers.",APEX-T4.1; APEX-T4.2,"Current aggregate payload is a useful carrier seam, not a compatibility proof.",d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,
DET-PRD-001,2 — Prediction/reconciliation,OPEN,common/net/src/msg/client.rs; common/src/comp/controller.rs,"Carried forward; both files confirmed present, input-frame shape not independently re-read this pass.",APEX-T5.2,No live ClientInputFrameV1 or equivalent was found.,d1b8948369e00680f193a6935f52f66086aff0fa,EXISTENCE-VERIFIED,
DET-PRD-005,2 — Prediction/reconciliation,OPEN,client/src/lib.rs,"Carried forward; file confirmed present and has grown substantially (3895 lines vs the seed's implied smaller size, consistent with 274 intervening campaign commits touching client systems); tick-loop structure not independently re-read this pass.",APEX-T5.2; APEX-T5.3; APEX-T5.4,Client tick counter alone is not a replayable input-frame identity.,d1b8948369e00680f193a6935f52f66086aff0fa,EXISTENCE-VERIFIED,
DET-PRD-008,2 — Prediction/reconciliation,PARTIAL,common/src/resources.rs:126-138,PlayerPhysicsSetting::server_authoritative_physics_optin confirmed present verbatim (opt-in seam intact); the default client-authoritative acceptance path in server/src/sys/msg/in_game.rs not independently re-read this pass.,APEX-T5.1; APEX-T5.2; APEX-T7.1,"Authority migration seam is live, but the finding remains unresolved for the default client-authoritative path.",d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,
DET-PRD-011,2 — Prediction/reconciliation,PARTIAL,client/src/lib.rs; common/systems/src/lib.rs,"common/systems/src/lib.rs confirmed present and still small (52 lines), consistent with shared client/server systems-dispatch reuse; not independently re-read for phase/resource/environment equivalence this pass.",APEX-T6.6; APEX-T7.1,Shared source code is a substantive primitive but not proof of identical prediction inputs/phases/results.,d1b8948369e00680f193a6935f52f66086aff0fa,EXISTENCE-VERIFIED,
DET-PRD-014,2 — Prediction/reconciliation,OPEN,client/src/lib.rs; repository-wide negative search,"Repository-wide search for PredictionHistory/ack_input_seq re-run against the current tip: zero matches. force_counter confirmed present in exactly the same three files (server/src/sys/msg/in_game.rs, common/net/src/msg/client.rs, client/src/lib.rs) as a correction-generation counter only.",APEX-T3.6; APEX-T7.2; APEX-T7.3,A correction epoch is not a rollback frame store.,d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,
DET-SVC-021,4 — Save-universe manifest binding,OPEN,"server/src/lib.rs (315-560 area, RtSim::new load)","Carried forward; file confirmed present and has grown (4947 lines). This pass separately confirmed commit 1c3f5fea7b landed a real determinism fix in rtsim/src/lib.rs (tick_rng no longer falls back to OS entropy) — that fix is about live RNG seeding, not about unifying plugin/world/map/terrain/character/RTSim persistence under one save-universe manifest/epoch, so it does not touch this finding's actual contract.",APEX-T4.3a; APEX-T4.4; APEX-T4.5; APEX-T4.6,"A manifest alone will not create multi-store atomicity; staged epoch publication remains required. Replacement row updated from APEX-T4.3 to APEX-T4.3a per Fable's ruling splitting T4.3 -- this finding needs the manifest-structure half, not the geometry/economy half (T4.3b).",d1b8948369e00680f193a6935f52f66086aff0fa,EXISTENCE-VERIFIED; adjacent commit checked,
DET-ESIM-007,5 — World-generation economy recurrence,OPEN,world/src/site/economy/context.rs; world/src/site/economy/mod.rs,"Carried forward; both files confirmed present (570 and 1424 lines respectively), 500-year recurrence loop not independently re-read this pass.",APEX-T4.3b; APEX-T8.1; APEX-T8.2; APEX-T8.3; APEX-T8.4,"Scope corrected from live RTSim recurrence to generated world/economy baseline feeding later RTSim compatibility. Replacement row updated from APEX-T4.3 to APEX-T4.3b per Fable's ruling splitting T4.3 (T4.3a=manifest structure/world seed/site identity, prereq T0.5; T4.3b=geometry root + economy baseline root, prereq T6.2) -- this finding is specifically the economy-baseline half.",d1b8948369e00680f193a6935f52f66086aff0fa,EXISTENCE-VERIFIED,
DET-ESIM-008,5 — World-generation economy recurrence,OPEN,"world/src/site/economy/mod.rs:899,1127-1137",self.surplus[*FOOD_INDEX] > 0.0 exact-positive population-growth branch confirmed present verbatim at (shifted) lines 1127-1137; a separate powf call (2.0f32.powf(1.0 - old_surplus/demand[good])) confirmed nearby at line 899.,APEX-T8.1; APEX-T8.3; APEX-T8.4,No deadband/fixed units/phase quantization decision is yet justified; evidence lanes must run first.,d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,
DET-BLD-032,6 — Build reproducibility,PARTIAL,rust-toolchain; flake.nix,"rust-toolchain and flake.nix confirmed present; flake.nix still does not export bastion-harness as a package (gap persists, independently reverified). NEW EVIDENCE GAP: vm-build-image.sh cited by the seed row does not exist anywhere on the bastion/apex lineage — confirmed absent even at the divergence point 927c2063a3f, i.e. it is a block-B6HAUL-only artifact that was never present on this branch. vm-run.sh/vm-pool.sh (the scripts APEX-A.1 itself cites as evidence) are likewise absent from the committed tree on this lineage.",APEX-T1.1; APEX-T1.2; APEX-T1.3; APEX-T1.4; APEX-T1.5,"Nix/toolchain/lockfile remain real prerequisites, not proof of reproducibility. The clean-room golden-image tooling this finding's original evidence depended on simply does not exist on this branch — treat as a wider evidence gap than the seed row implied, not a narrower one.",d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,vm-build-image.sh/vm-run.sh/vm-pool.sh absent from bastion/apex lineage entirely (never existed since the 927c2063a3f divergence point)
DET-AST-026,7 — Plugin dependency resolution,PARTIAL,common/state/src/plugin/mod.rs,"File confirmed present (525 lines). ADJACENT NEW EVIDENCE, does not close this finding: commit d1b8948369 added a tested canonical_plugin_order(&mut [P], |p| PluginHash) helper proving content-hash sort order is independent of OS-directory/network-arrival load order for LAST-WINS conflict arbitration (create_body/update_skeleton/command_event) — this closes a narrower, different finding (content-hash ordering for same-body/skeleton conflicts) than DET-AST-026's actual contract (dependency graph resolution; module instantiation/discovery still coupled to discovery).",APEX-T2.1; APEX-T2.2; APEX-T2.3; APEX-T2.4; APEX-T2.5,"Metadata/hash primitives exist; no exact DAG validation, API compatibility, conflict policy, or activation plan exists — unchanged by the new fixture.",d1b8948369e00680f193a6935f52f66086aff0fa,EXISTENCE-VERIFIED; adjacent commit checked,
DET-AST-028,4/7 — Bootstrap/plugin activation order,PARTIAL,client/src/lib.rs; common/net/src/msg/server.rs:82,active_plugins: Vec<PluginHash> confirmed present. Same adjacent-new-evidence note as DET-AST-026 applies: the new content-hash ordering fixture is real but narrower than an activation-plan-root proof.,APEX-T2.5; APEX-T4.1,The wire can carry order; the order is not resolved/frozen/proven — unchanged.,d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED; adjacent commit checked,
